Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Women's Basketball vs  UC Davis,3/3/18,4:00 PM,3/3/18,7:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  UC Davis Riverside, CA"
Men's Basketball at  Long Beach State,3/3/18,7:30 PM,3/3/18,10:30 PM,"Long Beach, CA",Men's Basketball,"Men's Basketball at  Long Beach State Long Beach, CA"
Softball vs  Brown,3/4/18,11:30 AM,3/4/18,2:30 PM,"Riverside, CA",Softball,"Softball vs  Brown Riverside, CA"
Baseball vs  San Francisco,3/4/18,12:00 PM,3/4/18,3:00 PM,"Riverside, CA",Baseball,"Baseball vs  San Francisco Riverside, CA"
Softball vs  Saint Mary's,3/4/18,2:00 PM,3/4/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Saint Mary's Riverside, CA"
Baseball vs  San Francisco,3/4/18,3:30 PM,3/4/18,6:30 PM,"Riverside, CA",Baseball,"Baseball vs  San Francisco Riverside, CA"
Men's Tennis vs  Southern Utah,3/4/18,9:30 AM,3/4/18,12:30 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Southern Utah Student Recreation Center
Men's Tennis vs  Northern Arizona,3/4/18,2:00 PM,3/4/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Northern Arizona Student Recreation Center
Women's Tennis vs  Villanova,3/5/18,1:30 PM,3/5/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Villanova Riverside, CA"
General vs  Coaches' Show,3/5/18,6-7 pm,3/5/18,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Women's Golf  Fresno State Classic,3/5/18, PM,3/5/18,11:59 PM,"Fresno, CA",Women's Golf,"Women's Golf  Fresno State Classic Fresno, CA"
Baseball vs  Valparaiso ,3/6/18,6:00 PM,3/6/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Valparaiso  Riverside, CA"
Women's Basketball vs  No. 7 Long Beach State,3/6/18,8:30 PM,3/6/18,11:30 PM,"Fullerton, CA",Women's Basketball,"Women's Basketball vs  No. 7 Long Beach State Fullerton, CA"
Men's Tennis vs  Youngstown State,3/6/18,2:00 PM,3/6/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Youngstown State Student Recreation Center
Women's Tennis vs  Toledo,3/7/18,1:30PM,3/7/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Toledo Riverside, CA"
Women's Basketball vs  No. 3 UC Irvine,3/7/18,6:00 PM,3/7/18,9:00 PM,"Fullerton, CA",Women's Basketball,"Women's Basketball vs  No. 3 UC Irvine Fullerton, CA"
Baseball vs  Valparaiso,3/7/18,6:00 PM,3/7/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Valparaiso Riverside, CA"
Men's Tennis vs  Boston University,3/7/18,9:00 AM,3/7/18,12:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Boston University Student Recreation Center
Men's Basketball vs  No. 1 UC Davis,3/8/18,12:00 PM,3/8/18,3:00 PM,"Anaheim, CA",Men's Basketball,"Men's Basketball vs  No. 1 UC Davis Anaheim, CA"
Softball vs  Boise State,3/8/18,12:00 PM,3/8/18,3:00 PM,,Softball,Softball vs  Boise State 
Women's Tennis vs  Utah State,3/8/18,1:30PM,3/8/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Utah State Riverside, CA"
Softball vs  Boise State,3/8/18,2:30 PM,3/8/18,5:30 PM,,Softball,Softball vs  Boise State 
Women's Track and Field  NCAA Indoor Championships,3/9/18,9:00 AM,3/9/18,11:59 PM,"College Station, TX",Women's Track and Field,"Women's Track and Field  NCAA Indoor Championships College Station, TX"
Men's Track and Field  NCAA Indoor Championships,3/9/18,9:00 AM,3/9/18,11:59 PM,"College Station, TX",Men's Track and Field,"Men's Track and Field  NCAA Indoor Championships College Station, TX"
Women's Basketball vs  UC Davis,3/9/18,12:00 PM,3/9/18,3:00 PM,"Anaheim, CA",Women's Basketball,"Women's Basketball vs  UC Davis Anaheim, CA"
Softball vs  North Dakota State,3/9/18,2:00 PM,3/9/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  North Dakota State Riverside, CA"
Baseball vs  Utah,3/9/18,6:00 PM,3/9/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Utah Riverside, CA"
Men's Tennis vs  Villanova,3/9/18,2:00 PM,3/9/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Villanova Student Recreation Center
Women's Track and Field  UC Santa Barbara/Cal Poly,3/10/18,12:00 PM,3/10/18,3:00 PM,"Santa Barbara, CA",Women's Track and Field,"Women's Track and Field  UC Santa Barbara/Cal Poly Santa Barbara, CA"
Men's Track and Field  UC Santa Barbara/Cal Poly,3/10/18,12:00 PM,3/10/18,3:00 PM,"Santa Barbara, CA",Men's Track and Field,"Men's Track and Field  UC Santa Barbara/Cal Poly Santa Barbara, CA"
Softball vs  Columbia,3/10/18,2:00 PM,3/10/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Columbia Riverside, CA"
Men's Tennis vs  Azusa Pacific,3/10/18,2:00 PM,3/10/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Azusa Pacific Student Recreation Center
Baseball vs  Utah,3/11/18,12:00 PM,3/11/18,3:00 PM,"Riverside, CA",Baseball,"Baseball vs  Utah Riverside, CA"
Softball vs  Colgate,3/11/18,2:00 PM,3/11/18,5:00 PM,"Riverside, CA",Softball,"Softball vs  Colgate Riverside, CA"
Baseball vs  Utah,3/11/18,3:00 PM,3/11/18,6:00 PM,"Riverside, CA",Baseball,"Baseball vs  Utah Riverside, CA"
Women's Tennis vs  UC Davis,3/11/18,3PM,3/11/18,6:00 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  UC Davis Riverside, CA"
Men's Tennis vs  Bucknell,3/12/18,9:30 AM,3/12/18,12:30 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Bucknell Student Recreation Center
Men's Tennis vs  Concordia Irvine,3/12/18,2:00 PM,3/12/18,5:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Concordia Irvine Student Recreation Center
Softball vs  Harvard,3/13/18,12:30 PM,3/13/18,3:30 PM,"Riverside, CA",Softball,"Softball vs  Harvard Riverside, CA"
Women's Tennis vs  Southern Utah,3/13/18,1:30PM,3/13/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Southern Utah Riverside, CA"
Softball vs  Colgate,3/13/18,3:00 PM,3/13/18,6:00 PM,"Riverside, CA",Softball,"Softball vs  Colgate Riverside, CA"
Women's Tennis vs  Bradley,3/14/18,1:30PM,3/14/18,4:30 PM,"Riverside, CA",Women's Tennis,"Women's Tennis vs  Bradley Riverside, CA"
Baseball vs  Grand Canyon ,3/14/18,6:00 PM,3/14/18,9:00 PM,"Riverside, CA",Baseball,"Baseball vs  Grand Canyon  Riverside, CA"
Softball vs  Idaho State vs. Texas Tech,3/16/18,9:00 AM,3/16/18,12:00 PM,,Softball,Softball vs  Idaho State vs. Texas Tech 
Softball vs  Purdue vs. Texas Tech,3/16/18,11:30 AM,3/16/18,2:30 PM,,Softball,Softball vs  Purdue vs. Texas Tech 
